clean_text,sentiment
barang sesuai pesanan cepat,positif
barang bagus harga murah,positif
paket rapi mantap cepat sampe tujuan,positif
puas barangnya,positif
responya luar biasa b mantap,positif
seller top pengiriman cepat barang oke,positif
pengiriman cepat seller top,positif
produk sesuai spec web respon seller sangat cepat thankyou,positif
respon super cepat pengiriman cepat barang bagus sesuai deskripsi penjual thx gan,positif
barang mantap pelayanan cepat,positif
sip sesuai pic dscrbs cuma blum dicoba,positif
sayang produk yg datang paking kurang rapi kebuka n isinya terhambur saran klo mengirimkan isi paku tembak beri lakban dulu dikemasan pakunya baru gabung kan yg tercecer kualitas barang seperinya bagus coba terima kasih,netral
barang sesuai deskripsi respon proses cepat terima kasih,positif
jos pokok e langganan,positif
berfungsi baik normal,positif
cara memberikan nilai reputasi penjual memberikan nilai reputasi penjual melakukan langkah langkah berikut,positif
barang sesuai deskripsi pengiriman cepat pake lama barang bagus mantap dahh pokoknya thanks gan,positif
sesuai deskripsi,positif
bagus packing aman pake bublewrap ndak patah,positif
barang sesuai deskripsi,positif
barang sesuai pesanan,positif
barang bagus sesuai info fast response,positif
barang pengriman cepet,positif
barang sy terima gan thanks,positif
paket diterima baik terima kasih,positif
barang bagus kecewa kurang banyak order dah,positif
barang terima terima kasih,positif
barang diterima,positif
sip udah sampe beberapa menit yg lalu oke sesuai pesanan gambar trimakasih kerjasamanya,positif
sesuai deskripsi barangnya,positif
produk sesuai pesanan dcoba,positif
proses cepat mantap,positif
sesuai deskripsi barangnya,positif
bagus sesuai deskripsi thnks,positif
produk sesuai gambar deskripsi produknya bagus harganya jg bagus recommended produk,positif
seller is good produknya mantap stars,positif
produk bagus sesuai deskripsi packing rapi pengiriman cepat kurirnya yg telat thanks,positif
mahmurah mantap barang sdh sampe thanks sukses selalu,positif
produk diterima utuh tersegel semoga awet,positif
sesuai order pengiriman cepat respon cepat,positif
respon proses penjual cepat barang sdh diterima stlh hari kualitas barang bagus recommended seller thanks,positif
mantap sesuai deskripsi trimakasih semoga barokah jualannya,positif
makasih gan barang sesuai,positif
pengiriman cepat fast respon barang sesuai trims,positif
produknya bagus berkualitas berfungsi baik,positif
brg diterima baik lengkap,positif
great product great seller,positif
steplesnya sedikit lebih kecil staples khusu mollar ditembakan keluar jadi menumpuk keluar rekomennya mending cari isi khusus mollar jk staplesnya merk mollar,positif
sesuai pesanan,positif
produk berfungsi baik,positif
produk sesuai deskripsi dicoba,positif
barang sesuai diskripsi layanan cepat,positif
diterima terima kasih,positif
pesanan gx sesuai yg gambar,negatif
diterima baik pakai,positif
packing rapi respon cepat recommended,positif
barang diterima baik thx,positif
barang bagus kualitas sesuai harga,netral
terima kasih,positif
pengiriman sangat cepat barang sesuai iklan berfungsi baik,positif
kwalitas bagus sesuai ditawarkan respons cepat,positif
sesuai yg diharapkan terimakasih,positif
barangnya bagus pelayanan toko semuanya sangat memuaskan recomend,positif
pengiriman respon super cepat barang sesuai gambar kuat menembus jok motor,negatif
produk sesuai deskripsi packing rapi rekomended,positif
lah sesuai denggan harga,netral
bukan merk kenmaster ternyata,positif
terimakasih barang,positif
bagus pengiriman cukup cepat,positif
barang udh sampe mksh,positif
terimakasih barangnya udah,positif
fast respon terbaiks,positif
makasih barang,positif
bagus top pengiriman cepat,positif
merk beda gpp yg penting ukrn sama,positif
lihat bintangnya dah,positif
barang diterima ukuran sesuai deskripsi mereknya beda dikirim masalah penting berfungsi baik,positif
barang tks,positif
bagus terimakasih,positif
barang samapai gan bagus,positif
mantaf sangat sangat sesuai,positif
barang diterima baik,positif
pengiriman cepat kemasan bagus,positif
sesuai permintaan fast respon,positif
matab good sesuai permintaan,positif
barang yg dikirim sesuai pesanan,negatif
barang lumayan kuat good,positif
murah meriah,positif
terima bos packing bagus aman,positif
makasih barang sesuai gambar,positif
langsung dipakai mantap thanks maaf baru kasi testi,positif
harganya murah isinya lumayan banyak n kuat pesan hr nyampe thanks toko besi timur jaya tokopedia n wahana,positif
terimakasih barang sdh diterima,positif
unit nya thanks,positif
barang terima kasih,netral
nyampe sejam mulai transaksi udah nyampe rumah mksh,positif
good cepat packing aman,positif
barang sangat bagus sesuai diskripsi,positif
mantap aman gan,positif
barang udah nyampe om makasih,positif
barang sesuai pengiriman cepat,positif
mantab fast respone tx u,positif
barang bagus packing cukup kurir ramah,positif
produk sesuai bagus thanks,positif
php bilang isi diseskripsi pas dipesen berbeda mubajir rp ternyata isinya cocok,negatif
terima kasih semoga bermanfaat,positif
barang sesuai gambar diterima kondisi baik,positif
trmksih banyak juragan atas kerjasamanya,positif
keren produk nya mantaps,positif
barangnya sesuai syn digambar,positif
barang bagus packing rapi pokoknya top,positif
sesuai apa yg dijelaskan detail produk,positif
barang cepat dicoba besoklah kucoba dulu baru testi thx,positif
fast respon barang sesuai gambar,netral
barang bagus pengiriman cepat recomended,positif
barang dah nyampek trimakasih,positif
barang diterima baik sesuai,positif
cepet respon a pesen pagi siang udh sampe,positif
mantab cepat sekali pengiriman pesan pagi siang udah dteng barangnya jg bagus thx,positif
barang bagus pengiriman cepat,positif
terima respon cepat,positif
terimakasih gan barang cepat sesuai orde,positif
pelayanan memuaskan gan,positif
barang tujuan cepat gan mkash,positif
keren bagus sangat berguna sekali,positif
barang sesuai gambar packing rapihlah pengiriman standar harga terjangkau terima kasih,positif
dicoba klo bintang nya tambah,positif
recomended seller semoga awet,positif
barang oke terima kasih,netral
barang bagus berfungsi baik,positif
barangnya datang tepat waktu,positif
barang diterima baik pengiriman yg cepat terima kasih,positif
mantap gun tackernya gan,positif
seller merespon cepat proses pengiriman cepat barang dipacking rapi berkualitas baru bnib stapler gun termasuk isinya jenis ukuran,positif
sesuai deskripsi lumayan lah pertama kali,netral
barang jelek copot terus tmpat taro isinya,negatif
barang dah sampe cepat rapi respon penjual baik,positif
barang diterima kondisi bagus test terimakasih,positif
produk bagus respon cepat,positif
terima kasih seller barang baru kurang teliti mohon perbaiki lg tertukar no resinya yg,netral
mantap rekomen seller barang bagus,positif
barang sesuai deskripsi pengiriman cepat thanks,positif
delivery cepat packing rapih produk sesuai deskripsi gambar trims gan,positif
barang langsung dicoba n lancar jaya thanks seller,positif
mantaps brng sesuai cepat responnya,positif
barang sesuai gambar respon penjual cepat,positif
barang terima sesuai spek,positif
barang tiba sesuai gambar,positif
barang terima thank u,positif
terimakasih gan barang,positif
barang sudaj gan tks,positif
respon cepat pengiriman cepat dites kualitas barang trims,positif
barang sdh dterima baik trima kasih,positif
barang terima bagus packing rapih makasih pelayanan nya,positif
barang bahan kokoh sptnya udah tes kayu nempel kuat untung dapet bonus isi nya trims gan,positif
packing sangat rapih barang sesuai yg dipesan,positif
mantap ajib top joss,positif
pengiriman packaging bagus sesuai foto deskripsi staple gun berat dipake,positif
oke sesuai pesanan,positif
makasih gan barang sesuai,positif
barang bagus beli isinya kira toko atk jual nda,positif
trims barangx sdh,positif
barang sesuai walaupun coba makasih tokopedia,positif
packing bagus barang sesuai diskripsi,netral
mantab fast respon,positif
barang tak coba,positif
bagus sesuai deskripsi gambar dicoba semoga g masalah,positif
produk bekerja baik kuat,positif
beli staples jual isinya sekali pake ckckck,negatif
terimakasih barang,netral
puas pisan cepet pisan,positif
barang bagus sesuai deskripsi packing rapi pengiriman cepat semoga tambah sukses gan tks,positif
kirimannya sampe makasih,positif
barang sesuai pesanan,positif
barang sdh cepat sdh dicoba hasilnya sukses terus boss,positif
sesuai gambar dicoba semoga memuaskan thanks,positif
barangnya kurang bagus atomnya masuk semua,netral
sangat cepat responnya good job thanks,positif
terima dlm keadaan baik trims,positif
terima kasih thank you danke gracias kittos syukron,positif
brg sesuai gambar pelayanan oke,positif
barang sdh,positif
barang terima baik,positif
barang sesuai gambar kemasan baik pengiriman cepat terima kasih,positif
barang sesuai deskripsi cuma terlambat pengiriman semoga berkah,positif
sesuai deskripsi foto sangat cocok yg baru belajar rekomendasikan toko rumah baju belanja disini komitmen pembicaraan dichat bayar barang langsung diproses dikirim hari pengirimannya menggunakan pos indonesia sesuai waktu pengiriman yg pilih sy puas pelayan kalian,positif
good product mantab jaya recomended seller,positif
produk mantab pelayanan cepat terimakasih,positif
barang sesuai deskripsi pakingnya pebaiki dikasih lakban biar aman punya pakunya tercecer kotaknya robek,positif
barang sesuai deskripsi bagus semoga awet thx,positif
packing baik recommended seller barang sesuai pesanan,positif
bagus pesan toko,positif
mantap gan bagus,positif
mau review packaging produk penjual pertama packaging sangat rapi pakai double bubble dibalut karton tebal kedua produk sangat berkualitas tinggi harga standar kualitas juara ketajaman ujung mata paku sangat tajam hingga mempermudah paku tembusnya ketiga penjual sangat sangat ramah baru kali pertama dilayani sangat puas pertama beli barang ancur parah pihak ekspedisi langsung komplain coba diskusi penjual hasilnya sangat memuaskan penjual siap mengirim ulang membawa barang yg rusaknya jamin pengalaman pribadi toko berani bersaing sisi harga sangat recommended seller,positif
respon pengiriman cepat barang oke good seller,positif
pengiriman cepat packing rapi barangnya sesuai deskripsi,positif
bagus bagus bagusksksnsnjsjjsksmmsms,positif
respon pengiriman cepat barang bagus,positif
selamat tujuan barang berfungsi normal isi paket lengkap,positif
recomended seller respon cepat packing mantap barang pesanan buble wrap jos,positif
kualitas okey makasih gan semua barang aman sesuai deskripsi,positif
mantab joos kendala jg sangat cepat packingnya aman kemasan produk mulus top pkoknya sukses selalu,positif
barang sesuai deskripsi pengiriman cepat pake lama barang bagus mantap dahh pokoknya thanks gan,positif
barang sesuai pesanan respon pengiriman cepat good seller,positif
barang sesuai posting siip,positif
berfungsi baik pengiriman respon cepat,positif
barang sesuai gambar pengiriman cepat respon seller,positif
recommended seller,positif
barang bagus respond cepat,positif
barang sesuai order respon pengiriman cepat,positif
terima kasih pak barang nay,positif
bagus mksh,positif
pas air nailer nya gan thanks recommended seller,positif
oke sip dinpake mantap,positif
makasih juragan,positif
mantab salam ningrat,positif
best dah best best penjual yg bner best dah,positif
barang datang sesuai pesanan packing rapi,positif
mantap barng oke dn cepat,positif
mkasih bnyak barang sesuai harga miring kualitas baguss sekali sukses gan,positif
alhamdulillah paket sdh respon pelayanan cepat recommended mksh bos,positif
barang sesuai pesanan kalok tambahin bonus isi staplesnya,positif
produk bagus cuma isinya susah produk sesuai deskripsi langsung dipakai mantul moga awet terima kasih,positif
terima kasih paket terima,netral
gan jual isi steples nya,positif
barang bagus respon cepat maaf ulasannya lambat,positif
barang diterima,positif
makasih barang dah aman,positif
barang packing rapih terimakasih gan,positif
alhamdulillah barang nya sdh terima baik pesanan cepat sesuai harapan hari proses pengiriman mantap,positif
paket terima baik terima kasih banyak atas pelayanannya,positif
barang udh nyampe gan tks sukses terus house sparepart,positif
barang bingung cara penggunaannya petunjuk pemakaian tulisannya bahasa china semuanya,positif
sebaiknya mau ngirim barang diperiksa dulu gan kondisi barangnya layak apa gitu loh isinya karatan semua,negatif
item is packing and delivery speed are also prima thanks,positif
trima kasih sdh sy dtrima baik,positif
pengiriman cepat packing aman isi staplesnya karatan semua beli box,netral
makasih juragan,positif
sangat puaas barang terima baik,positif
terima kasih barang diterima baik,positif
paket cepat barang sesuai gambar,positif
makasih agan barang cepet isi mulus recommended seller next order,positif
barang ssesuai gambar pengirimannya cepat,positif
barang cepet terima kasih,positif
isinya yg karat produk sesuai gambar,netral
refillnya karatan lumayan dah,positif
isi steplessnya sdh lama gan yg sdh berkarat,positif
terima kasih barang diterima recommended seller,positif
barang dah sampe pengiriman cepat,positif
barang dah sy salah tafsir tak pikir mm lebarnya ternyata kecil sudahlah yg thx,netral
respon cepat barang sesuai thx gan,positif
terima kasih barang diterima baik,positif
terima kasih barang baik pengirimannya lambat sy pesan bayar tgl tgl jakarta to jakarta mungkin efek hari libur nasional jumat s minggu,positif
maaf baru sempet ksh ulasan brg udh diterima hari yg lalu mksh yaa,positif
barang sesuai gambar sedikit slow respon thx gan,positif
sip gan mantap makasih,positif
produk sesuai order prohex yg dikirim,negatif
barang oke packing aman proses kirim cepat trims,positif
sdh diterima thank you,positif
barang sdh selamat packing jg rapih,positif
okeh sip terima kasih,positif
fast respon harga murah good n recomended seller,positif
barang bagus isi lumayan,positif
clear as described recommended seller a,positif
produk bagus penjual recommended,positif
thx gan pesanan udh sampe recommended seller,positif
mantul fast respon kaya vr,positif
terima kasih barang diterima semoga mantap order,positif
pas cari barang bagus,positif
barang cocok harapan,netral
terimakasih barangnya,positif
salah beli kekecilan kualitas lumayan lah,positif
barang sesuai deskripsi,positif
mantap laah harga murmer,positif
sesuai deskripsi pengiriman cepat,positif
trimaksh brang utuh,positif
lumayan cocok harganya,positif
barang gan langsung ane pakai mbenerin kursi,positif
kiriman lama sesuai pesanan,positif
dah sampe makasih gan,positif
recomended seller thanks gan,positif
pesanan terima kasih,positif
barang diterima sesuai pesanan thx,positif
biar bintang yg bicara,positif
fast respont best seller,positif
barang bagus sesuai pesanan mas thx,positif
